Americamysis bahia_acute,Americamysis bahia_chronic,Artemia salina_acute,Brachionus plicatilis_acute,Chaetogammarus marinus_acute,Crangon septemspinosa_acute,Crassostrea virginica_acute,Cyprinodon variegatus_acute,Cyprinodon variegatus_chronic,Danio rerio_chronic,Farfantepenaeus duorarum_acute,Fundulus heteroclitus_acute,Fundulus heteroclitus_chronic,Gadus morhua_chronic,Gasterosteus aculeatus_acute,Lepeophtheirus salmonis_acute,Lepomis macrochirus_acute,Litopenaeus vannamei_acute,Menidia beryllina_acute,Menidia menidia_acute,Mytilus galloprovincialis_chronic,Nitocra spinipes_acute,Oncorhynchus mykiss_chronic,Oncorhynchus mykiss_acute,Oryzias melastigma_chronic,Palaemonetes pugio_acute,Palaemonetes pugio_chronic,Palaemonetes sp._acute,Pimephales promelas_acute,Pimephales promelas_chronic,Raphidocelis subcapitata_acute,Rivulus marmoratus_chronic,Scolelepis fulginosa_acute,Skeletonema costatum_acute,Skeletonema costatum_chronic,Dunaliella tertiolecta_acute,Isochrysis galbana_acute,Phaeodactylum tricornutum_acute,smiles,duration,group
-3.638687775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CC1([C@@H]([C@@H]1C(=O)O[C@@H](C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)/C=C(/C(F)(F)F)\Cl)C,1,training
-5.309803919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CC1([C@@H]([C@@H]1C(=O)O[C@@H](C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)/C=C(/C(F)(F)F)\Cl)C,4,training
-2.886056648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O=P(OC)(OC)OC(C)=CC(=O)OC,4,training
2.10720997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COC(=O)c1sccc1S(=O)(=O)NC(=O)Nc1nc(C)nc(OC)n1,4,training
0.06069784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CNC(=O)c1cc(Cl)cc(C)c1NC(=O)c1cc(Br)nn1-c1ncccc1Cl,4,training
2.037426498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COC(=O)c1c(Cl)nn(C)c1S(=O)(=O)NC(=O)Nc1nc(OC)cc(OC)n1,4,training
0.041392685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2,4,training
0.204119983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2,2,training
-2.51570016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCOCN1C(=C(C(=C1C(F)(F)F)Br)C#N)C2=CC=C(C=C2)Cl,4,training
-3.173925197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CC(C)(C)C1=CC=C(C=C1)CSC2=C(C(=O)N(N=C2)C(C)(C)C)Cl,4,training
-2.525783736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CC(C)(C)C1=CC=C(C=C1)CSC2=C(C(=O)N(N=C2)C(C)(C)C)Cl,4,training
-1.785156152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CC(C)(C)C1=CC=C(C=C1)CSC2=C(C(=O)N(N=C2)C(C)(C)C)Cl,4,training
-1.050609993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CN(C)S(=O)(=O)n1c(nc(Cl)c1-c1ccc(C)cc1)C#N,4,training
-0.48148606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CN1SC(=CC1=O)Cl,4,training
-0.657577319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C1Cc2cccc3cccc1c23,3,training
-0.431798276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C1Cc2cccc3cccc1c23,1,training
-0.698970004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C1Cc2cccc3cccc1c23,1,training
1.437116093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CC=O,4,training
0.204119983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O=Cc1ccccc1,3,training
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O=Cc1ccccc1,3,training
2.169233451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CC1(C)C2CCC1(C)C(O)C2,1,training
1.86799751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CC1(C)C2CCC1(C)C(O)C2,4,training
